qId,segmentId,type,difficulty,tag1,tag2,tag3,lawTag,revisionFlag,conceptId,variantGroupId,source_ref,imageUrl,choiceImageUrl,stem,choiceA,choiceB,choiceC,choiceD,choiceE,explainA,explainB,explainC,explainD,explainE,correct,explainShort,explainLong,status,updatedAt
H25sekisan-001,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,建築基準法で規定されている構造種別の次の記述のうち、最も不適切なものはどれか。,鉄筋コンクリート造,鉄骨造,組積造,プレファブ造,,,,,,,D,プレファブ造は構造種別ではない。,,published,2026-04-11
H25sekisan-002,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,構造形式の特徴に関する次の記述のうち、最も不適切なものはどれか。,S造は高層建築物、大スパン建築物が可能であり、耐火性能がよい。,RC造は剛性が一般的に良好であるが、せん断破壊時に脆い。,SRC造は事務所、集合住宅、大スパン建築物が可能だが、工期が長い。,RC壁式構造は室内に柱型が出ず居住性はよいが、大きな開口部がとれない。,,,,,,,A,高熱化で強度が低下するので耐火被覆が必要である。,,published,2026-04-11
H25sekisan-003,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,高層建築物の工期短縮のために使用される工法で次の記述のうち、最も不適切なものはどれか。,構造部材のプレファブ化(プレキャストコンクリート),外壁のプレファブ化(カーテンウォール),内装材料の湿式化,設備のユニット化,,,,,,,C,工期短縮のために内装材料の乾式化工法を取り入れている。,,published,2026-04-11
H25sekisan-004,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,高層建築物の積層工法に関する次の記述のうち、最も不適切なものはどれか。,層単位に区切り、層ごとに工事を完了させていく。,RC造の高層建築物では採用されることはない。,作業の平準化および習熟効果による品質向上が図れる。,効率的な工法であり、工期が短縮できる。,,,,,,,B,高強度のコンクリートや鉄筋が開発され、高層建築物もRC造が計画されるようになり、RC造でも採用されるようになった。,,published,2026-04-11
H25sekisan-005,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,逆打工法に関する次の記述のうち、最も不適切なものはどれか。,近隣に対して地下工事の騒音が減少する。,安全性が高い地下工法である。,地下・地上工事の並行作業が可能となり工期短縮が図れる。,地下工事は風雨の影響を受け易い。,,,,,,,D,地下工事は風雨の影響を受けにくい。,,published,2026-04-11
H25sekisan-006,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,バーチャート工程表に関する次の記述のうち、最も不適切なものはどれか。,関連工事との調整が分かり易い。,作業の前後関係が明確に表現できない。,部分変更をした場合に全体へ与える影響が分かりにくい。,キーポイント·重点管理ポイント作業の判断がしにくい。,,,,,,,A,11.3.1 バーチャート工程表とネットワーク工程表バーチャート工程表は関連工事との調整が分かり難い。,,published,2026-04-11
H25sekisan-007,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,建築積算に関する次の記述のうち、最も不適切なものはどれか。,設計図書などから各工事に必要な数量を細目別に計測・計算し、工事価格を算出することを狭義の建築積算と位置付けている。,最近は、CM、PM、FMなどマネージメント業務にも参画し、コスト管理も建築積算の新しい活動領域となっている。,建築積算にも社会性が求められており、建設コストの公平性、妥当性、透明性を担保する必要がある。,建築積算は、設計、施工とのトライアングルの関係にあり、設計段階から竣工まで施主に対しての利益管理を行う。,,,,,,,D,資金の問題を扱うのが建築積算であり、設計、施工を経済的な観点から支える役割がある。,,published,2026-04-11
H25sekisan-008,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,建築積算の目的·役割·活動領域に関する次の記述のうち、最も不適切なものはどれか。,建築コストの算定および評価は、建築積算士の判断に負うところが多く、高度な能力と努力を要する。,設計図書や工事発注方式の検討のほか、工事の工程管理、品質管理などにも深く関与している。,建築生産活動は大きな資金を必要とする経済行為であり、建築積算の果たす役割は重要である。,建築積算は、コストマネジメントによって建築産業の健全さを高める役割が期待されている。,,,,,,,B,建築積算は社会的な要請、経済的な要請、あるいは人間的な要請によって活動領域は拡大しているが、工事の工程管理や品質管理は含まれていない。,,published,2026-04-11
H25sekisan-009,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,PFI方式の発注に関する次の記述のうち、最も不適切なものはどれか。,選定された事業者が施設を設計、建設し、これを所有したまま,公共発注機関が自ら実施するよりも、効率的かつ効果的に事業のライフサイクルコストの削減を目的としている。,公共施設などの建設、維持管理、運営などを民間の資金、経営能力、技術能力を活用する方式である。,従来の公共事業と同じ方式で事業を実施した場合と比べ、VFMの確保が必要である。,,,,,,,A,3 工事の発注·契約 3.1.2 PFI方式BTO方式とは、選定された事業者により施設を完成させた後、所有権を公共部門に譲渡する。維持管理、運営は選定された事業者によりおこなわれる方式である。,,published,2026-04-11
H25sekisan-010,sekisan_I,knowledge,3,Ⅰ建築一般,H25,,,,,,BSIJ公式 H25,,,設計図書に関する次の記述のうち、最も不適切なものはどれか。,現場説明書とは、設計図書などで表示し難い設計条件や見積条件などを書面で示したものである。,設計図とは、建築物などを新築、増築、改修する際に工事目的物の形状、内容、性能、品質などを示した書面をいう。,質問回答書とは、設計図書などについて、入札参加者からの質疑に対して書面で回答するもので、優先順位は低い。,特記仕様書とは、当該工事のみに関連する材料の性能や品質、施工方法などを工事ごとに表現したものをいう。,,,,,,,C,質疑回答書は設計図書の中で優先順位が一番高い4 設計図書　4.2 設計図書の優先順位Ｐ.　36,,published,2026-04-11
